"PLACE_NAME","PLACE_TYPE","ID","DATESTAMP"
"Margaret's Westminster","crimeLocation","t17470116-4","1/16/1747"
"Margaret's Westminster","crimeLocation","t17470116-49","1/16/1747"
"Westbourn-Green , in the Parish of Paddington-Green","crimeLocation","t17470116-14","1/16/1747"
"Shoe-lane, in the Parish of St Brides","crimeLocation","t17470116-28","1/16/1747"
"Red-hart in Fetter lane","crimeLocation","t17470116-29","1/16/1747"
"Bridges street, Covent Garden","crimeLocation","t17470116-30","1/16/1747"
"Aldersgate street","crimeLocation","t17470225-21","2/25/1747"
"Broad St Giles's","crimeLocation","t17470225-11","2/25/1747"
"Westminster Horse-yard","crimeLocation","t17470225-4","2/25/1747"
"Aldersgate street","crimeLocation","t17470225-2","2/25/1747"
"Whitechapel","crimeLocation","t17470225-14","2/25/1747"
"Mount street, St George's, Hanover square","crimeLocation","t17470225-9","2/25/1747"
"Gravel lane, Houndsditch","crimeLocation","t17470225-5","2/25/1747"
"St Bride's Parish, Fleet-Market","crimeLocation","t17470429-34","4/29/1747"
"Oxford Road","crimeLocation","t17470429-8","4/29/1747"
"Bell-alley, in the Ward of Queenhithe","crimeLocation","t17470429-12","4/29/1747"
"Russel-street, Covent-garden","crimeLocation","t17470429-10","4/29/1747"
"Shoreditch","crimeLocation","t17470429-24","4/29/1747"
"Bishopsgate street","crimeLocation","t17470429-19","4/29/1747"
"Old Gravel lane","crimeLocation","t17470429-13","4/29/1747"
"Oxford Road, near the Cheshire-Cheese","crimeLocation","t17470429-3","4/29/1747"
"Lemon-street, Goodman's-fields","crimeLocation","t17470429-41","4/29/1747"
"St Bride's Parish, Fleet-Market","crimeLocation","t17470429-3","4/29/1747"
"St Clement's Churchyard","crimeLocation","t17470604-3","6/4/1747"
"Red Lion-street, Holborn","crimeLocation","t17470604-24","6/4/1747"
"St John Wapping","crimeLocation","t17470715-4","7/15/1747"
"Shoreditch","crimeLocation","t17470715-8","7/15/1747"
"Baldwin's-Gardens","crimeLocation","t17470715-17","7/15/1747"
"Chelsea","crimeLocation","t17470715-16","7/15/1747"
"Long-Acre","crimeLocation","t17470715-12","7/15/1747"
"Honey-lane Market","crimeLocation","t17470715-10","7/15/1747"
"Monmouth-street","crimeLocation","t17470909-2","9/9/1747"
"Wapping-Dock","crimeLocation","t17470909-10","9/9/1747"
"Plumptree-Court, in Shoe lane","crimeLocation","t17470909-17","9/9/1747"
"Spitalfields","crimeLocation","t17470909-34","9/9/1747"
"Red-Lyon-Street, Whitechapels","crimeLocation","t17470909-4","9/9/1747"
"Monmouth-street","crimeLocation","t17470909-27","9/9/1747"
"Royal-Exchange","crimeLocation","t17470909-5","9/9/1747"
"Shevarton","crimeLocation","t17471014-6","10/14/1747"
"St. Andrew, Holborn","crimeLocation","t17471014-11","10/14/1747"
"St Katherine's","crimeLocation","t17471014-16","10/14/1747"
"Three Crowns in Whitechapel","crimeLocation","t17471014-18","10/14/1747"
"St Andrew Holborn","defendantHome","t17471014-11","10/14/1747"
"Exchange","crimeLocation","t17471209-3","12/9/1747"
"Newtner street","crimeLocation","t17471209-3","12/9/1747"
"Exchange","crimeLocation","t17471209-31","12/9/1747"
"Hackney","crimeLocation","t17471209-7","12/9/1747"
"Old-nickle-street","crimeLocation","t17471209-8","12/9/1747"
"Strand","crimeLocation","t17471209-40","12/9/1747"
"Lidlight near Lid","crimeLocation","t17471209-52","12/9/1747"
"Lidlight near Lid","crimeLocation","t17471209-5","12/9/1747"
"Barbican","crimeLocation","t17471209-50","12/9/1747"
"Barbican","crimeLocation","t17471209-5","12/9/1747"
"Lemon-street, Goodman's-fields","crimeLocation","t17471209-5","12/9/1747"
"East-Smithfield","crimeLocation","t17471209-20","12/9/1747"
"East-Smithfield","crimeLocation","t17471209-2","12/9/1747"
"Bishop of Ely's house","crimeLocation","t17471209-1","12/9/1747"
"Bishop of Ely's house","crimeLocation","t17471209-14","12/9/1747"
"St. Martin's in the Fields","defendantHome","t17480115-38","1/15/1748"
"St. Brides","defendantHome","t17480115-17","1/15/1748"
"St. Mary Lestrand","defendantHome","t17480115-5","1/15/1748"
"the Strand, and went into Eagle-Court","crimeLocation","t17480115-5","1/15/1748"
"St. Michael Cornhill","defendantHome","t17480115-6","1/15/1748"
"St. Dunstan's in the West","defendantHome","t17480115-9","1/15/1748"
"near Black-Fryer's gate","crimeLocation","t17480115-9","1/15/1748"
"St. James's, Westminster","defendantHome","t17480115-1","1/15/1748"
"St. James's, Westminster","defendantHome","t17480115-11","1/15/1748"
"Piccadilly","crimeLocation","t17480115-1","1/15/1748"
"Piccadilly","crimeLocation","t17480115-11","1/15/1748"
"St. Giles's in the Fields","defendantHome","t17480115-27","1/15/1748"
"Christ Church, Middlesex","defendantHome","t17480115-3","1/15/1748"
"St. Ann Limehouse","defendantHome","t17480115-3","1/15/1748"
"St. Ann Limehouse","defendantHome","t17480115-31","1/15/1748"
"St. Dunstan's in the East","defendantHome","t17480115-1","1/15/1748"
"St. Dunstan's in the East","defendantHome","t17480115-19","1/15/1748"
"my stable, and hay loft in White-Cross-Street","crimeLocation","t17480115-21","1/15/1748"
"St. Martin's in the Fields","defendantHome","t17480115-22","1/15/1748"
"St. Andrew, Holborn","defendantHome","t17480115-24","1/15/1748"
"Holborn","crimeLocation","t17480115-24","1/15/1748"
"St. John Wapping","defendantHome","t17480115-26","1/15/1748"
"middle of the river off Tower-Wharf","crimeLocation","t17480115-26","1/15/1748"
"St. Brides","defendantHome","t17480115-1","1/15/1748"
"Ludgate-Hill","crimeLocation","t17480115-17","1/15/1748"
"Ludgate-Hill","crimeLocation","t17480115-1","1/15/1748"
"St. Brides","defendantHome","t17480115-1","1/15/1748"
"St. Brides","defendantHome","t17480115-18","1/15/1748"
"St. Peter Cheap","defendantHome","t17480115-1","1/15/1748"
"St. Peter Cheap","defendantHome","t17480115-14","1/15/1748"
"St. Mary Aldermary","defendantHome","t17480115-1","1/15/1748"
"St. Mary Aldermary","defendantHome","t17480115-16","1/15/1748"
"Watling Street","crimeLocation","t17480115-1","1/15/1748"
"Watling Street","crimeLocation","t17480115-16","1/15/1748"
"St. Martin's in the Fields","defendantHome","t17480115-3","1/15/1748"
"Castle at Cow-Cross","crimeLocation","t17480224-11","2/24/1748"
"St. Botolph Aldgate, Middlesex","defendantHome","t17480224-2","2/24/1748"
"St. George in Middlesex","defendantHome","t17480224-34","2/24/1748"
"Uxbridge","defendantHome","t17480224-42","2/24/1748"
"Clare-Market","crimeLocation","t17480224-45","2/24/1748"
"St. Dunstan's in the West","defendantHome","t17480224-51","2/24/1748"
"Gentleman and Porter","crimeLocation","t17480224-51","2/24/1748"
"Fleetstreet","crimeLocation","t17480224-51","2/24/1748"
"St. James's, Westminster","defendantHome","t17480224-6","2/24/1748"
"St. Martin's in the Fields","defendantHome","t17480224-7","2/24/1748"
"Windsor Court, in Drury-Lane","crimeLocation","t17480224-7","2/24/1748"
"St. Botolph Aldgate","defendantHome","t17480224-8","2/24/1748"
"St. Leonard, Shoreditch","defendantHome","t17480224-2","2/24/1748"
"St. Leonard, Shoreditch","defendantHome","t17480224-22","2/24/1748"
"Coleman-Street","crimeLocation","t17480224-2","2/24/1748"
"Coleman-Street","crimeLocation","t17480224-22","2/24/1748"
"St. James's, Westminster","defendantHome","t17480224-2","2/24/1748"
"St. James's, Westminster","defendantHome","t17480224-24","2/24/1748"
"St. James's, Westminster","defendantHome","t17480224-2","2/24/1748"
"St. James's, Westminster","defendantHome","t17480224-25","2/24/1748"
"St. James's Market","crimeLocation","t17480224-2","2/24/1748"
"St. James's Market","crimeLocation","t17480224-25","2/24/1748"
"St. James's Westminster","defendantHome","t17480224-2","2/24/1748"
"St. James's Westminster","defendantHome","t17480224-26","2/24/1748"
"Paddington","defendantHome","t17480224-13","2/24/1748"
"St. Andrew Holborn","defendantHome","t17480224-14","2/24/1748"
"St. George, Hanover-Square","defendantHome","t17480224-16","2/24/1748"
"Princes-Street, Hanover-Square","crimeLocation","t17480224-16","2/24/1748"
"Fleet-street","crimeLocation","t17480224-18","2/24/1748"
"St. Giles's Cripplegate , London","crimeLocation","t17480224-19","2/24/1748"
"St. Andrew's, Holborn","defendantHome","t17480224-33","2/24/1748"
"St. Botolph Bishopgate","defendantHome","t17480420-34","4/20/1748"
"St. Sepulchres","defendantHome","t17480420-31","4/20/1748"
"St. Botolph Aldgate","defendantHome","t17480420-38","4/20/1748"
"Dumwell Frigate","crimeLocation","t17480420-40","4/20/1748"
"Rose Inn at Holbourn-bridge","crimeLocation","t17480420-48","4/20/1748"
"St. James's Westminster","defendantHome","t17480420-5","4/20/1748"
"Oxford-Arms","crimeLocation","t17480420-5","4/20/1748"
"Piccadilly","crimeLocation","t17480420-5","4/20/1748"
"St. Michael Cornhill","defendantHome","t17480420-1","4/20/1748"
"St. Michael Cornhill","defendantHome","t17480420-10","4/20/1748"
"St. Luke's","defendantHome","t17480420-13","4/20/1748"
"St. Luke's","defendantHome","t17480420-1","4/20/1748"
"St. Giles's Cripplegate","defendantHome","t17480420-14","4/20/1748"
"St. Giles's Cripplegate","defendantHome","t17480420-1","4/20/1748"
"Woolpack in Jewin-street","crimeLocation","t17480420-14","4/20/1748"
"Woolpack in Jewin-street","crimeLocation","t17480420-1","4/20/1748"
"St. Giles's in the Fields","defendantHome","t17480420-16","4/20/1748"
"St. Giles's in the Fields","defendantHome","t17480420-1","4/20/1748"
"St. Paul Covent Garden","defendantHome","t17480420-7","4/20/1748"
"York-street Covent-Garden","crimeLocation","t17480420-7","4/20/1748"
"St. Ann Westminster","defendantHome","t17480420-7","4/20/1748"
"St. Catharine Cree-church","defendantHome","t17480420-7","4/20/1748"
"St. Catharine Cree-church","defendantHome","t17480420-70","4/20/1748"
"St. Michael Cornhill","defendantHome","t17480420-8","4/20/1748"
"Cornhill","crimeLocation","t17480420-8","4/20/1748"
"Exchange Alley","crimeLocation","t17480420-8","4/20/1748"
"Bartholomew-Close","crimeLocation","t17480420-9","4/20/1748"
"St. George's Bloomsbury","defendantHome","t17480420-1","4/20/1748"
"St. George's Bloomsbury","defendantHome","t17480420-18","4/20/1748"
"St. Dunstan in the West","defendantHome","t17480420-20","4/20/1748"
"Fleet-street","crimeLocation","t17480420-20","4/20/1748"
"St. James's Duke's Place, London","crimeLocation","t17480420-25","4/20/1748"
"St. John the Evangelist","defendantHome","t17480420-26","4/20/1748"
"St. Botolph Bishopsgate","defendantHome","t17480420-37","4/20/1748"
"Drum-Ally in Drury-Lane","crimeLocation","t17480526-19","5/26/1748"
"St. Margaret, Westminster","defendantHome","t17480526-20","5/26/1748"
"St. Mary, White-chapel","defendantHome","t17480526-23","5/26/1748"
"Whitechapel","crimeLocation","t17480526-23","5/26/1748"
"St. George Bloomsbury","defendantHome","t17480526-25","5/26/1748"
"King's-street, Bloomsbury","crimeLocation","t17480526-25","5/26/1748"
"St. Paul, Covent-Garden","crimeLocation","t17480526-25","5/26/1748"
"St. James's Street, Covent-Garden","crimeLocation","t17480526-25","5/26/1748"
"Kingston, in the county of Surry","crimeLocation","t17480526-29","5/26/1748"
"Alhallows, Lombard-street","defendantHome","t17480526-4","5/26/1748"
"St. Margaret's, Westminster","defendantHome","t17480526-4","5/26/1748"
"St. Margaret's, Westminster","defendantHome","t17480526-40","5/26/1748"
"Christ-Church, Middlesex","defendantHome","t17480526-41","5/26/1748"
"Christ-Church, Middlesex","defendantHome","t17480526-4","5/26/1748"
"St. Giles's, Cripplegate","defendantHome","t17480526-6","5/26/1748"
"Angel-Alley, Little Moorfields","crimeLocation","t17480526-6","5/26/1748"
"St. James's, Westminster","defendantHome","t17480526-10","5/26/1748"
"St. Martin's in the Fields","defendantHome","t17480526-12","5/26/1748"
"Long-Acre","crimeLocation","t17480526-12","5/26/1748"
"St. George Bloomsbury","defendantHome","t17480526-13","5/26/1748"
"St. Luke's, Middlesex","crimeLocation","t17480526-14","5/26/1748"
"St. John Wapping","crimeLocation","t17480526-18","5/26/1748"
"St. Giles's in the Fields","defendantHome","t17480526-19","5/26/1748"
"Charing-Cross","crimeLocation","t17480706-2","7/6/1748"
"Charing-Cross","crimeLocation","t17480706-24","7/6/1748"
"Bishopsgate","crimeLocation","t17480706-1","7/6/1748"
"Elbow-Lane, by Ratcliff Highway","crimeLocation","t17480706-28","7/6/1748"
"Elbow-Lane, by Ratcliff Highway","crimeLocation","t17480706-2","7/6/1748"
"Swithin's-Alley","crimeLocation","t17480706-4","7/6/1748"
"St. Bartholomew, by the Exchange","defendantHome","t17480706-4","7/6/1748"
"Kensington","crimeLocation","t17480706-38","7/6/1748"
"St. George, Hanover-Square","defendantHome","t17480706-38","7/6/1748"
"Fleet-Market","crimeLocation","t17480706-43","7/6/1748"
"Fleet-Market","crimeLocation","t17480706-4","7/6/1748"
"Goodman's-Yard, in the Minories","crimeLocation","t17480706-40","7/6/1748"
"Goodman's-Yard, in the Minories","crimeLocation","t17480706-4","7/6/1748"
"Tower-Hill","crimeLocation","t17480706-27","7/6/1748"
"Tower-Hill","crimeLocation","t17480706-2","7/6/1748"
"precinct of St. Catherine's","defendantHome","t17480706-27","7/6/1748"
"precinct of St. Catherine's","defendantHome","t17480706-2","7/6/1748"
"Shoe Lane, Holborn","crimeLocation","t17480706-7","7/6/1748"
"Cranbourn-Alley","crimeLocation","t17480706-9","7/6/1748"
"Great-Moorgate","crimeLocation","t17480706-8","7/6/1748"
"Castle","crimeLocation","t17480706-8","7/6/1748"
"Temple-Mews","crimeLocation","t17480706-2","7/6/1748"
"St. John, Wapping","defendantHome","t17480907-32","9/7/1748"
"Wapping","crimeLocation","t17480907-32","9/7/1748"
"Bromley","defendantHome","t17480907-35","9/7/1748"
"Bromley","crimeLocation","t17480907-35","9/7/1748"
"St. Giles in the Fields","defendantHome","t17480907-39","9/7/1748"
"Wapping","crimeLocation","t17480907-48","9/7/1748"
"St. Catherine Creedchurch","defendantHome","t17480907-51","9/7/1748"
"Saracen's head","crimeLocation","t17480907-51","9/7/1748"
"Aldgate","crimeLocation","t17480907-51","9/7/1748"
"Stepney","defendantHome","t17480907-55","9/7/1748"
"Hendon","defendantHome","t17480907-31","9/7/1748"
"Little Moor-fields","crimeLocation","t17480907-28","9/7/1748"
"Little Moor-fields","crimeLocation","t17480907-2","9/7/1748"
"Halfmoon-alley","crimeLocation","t17480907-28","9/7/1748"
"Halfmoon-alley","crimeLocation","t17480907-2","9/7/1748"
"Punch-bowl","crimeLocation","t17480907-28","9/7/1748"
"Punch-bowl","crimeLocation","t17480907-2","9/7/1748"
"St. Giles's Cripplegate","defendantHome","t17480907-28","9/7/1748"
"St. Mary Aldermanbury","defendantHome","t17480907-60","9/7/1748"
"Bethnal-green","crimeLocation","t17480907-27","9/7/1748"
"Bethnal-green","crimeLocation","t17480907-2","9/7/1748"
"St. Matthew Bethnal-green","defendantHome","t17480907-27","9/7/1748"
"St. Matthew Bethnal-green","defendantHome","t17480907-2","9/7/1748"
"Bethnal-Green","crimeLocation","t17480907-20","9/7/1748"
"Bethnal-Green","crimeLocation","t17480907-2","9/7/1748"
"Sepulchres","defendantHome","t17480907-75","9/7/1748"
"Aldermanbury","crimeLocation","t17480907-60","9/7/1748"
"St. John the Evangelist","crimeLocation","t17480907-2","9/7/1748"
"Newgate","crimeLocation","t17480907-17","9/7/1748"
"Bartholomew-fair","crimeLocation","t17480907-16","9/7/1748"
"St. Sepulchre's","defendantHome","t17480907-16","9/7/1748"
"Bird-in-hand in King-street Westminster","crimeLocation","t17480907-15","9/7/1748"
"St. Giles's Cripplegate","defendantHome","t17480907-2","9/7/1748"
"St. Olave Hart Street","defendantHome","t17481012-3","10/12/1748"
"St. Olave Hart Street","defendantHome","t17481012-32","10/12/1748"
"St. Martins in the Fields","defendantHome","t17481012-40","10/12/1748"
"St. Martins in the Fields","defendantHome","t17481012-5","10/12/1748"
"St. Pancras Soper Lane","defendantHome","t17481012-8","10/12/1748"
"St. Dunstan's Stepney","defendantHome","t17481012-1","10/12/1748"
"St. James's West, minster","defendantHome","t17481012-1","10/12/1748"
"St. James's West, minster","defendantHome","t17481012-13","10/12/1748"
"St. Michael Cornhill","defendantHome","t17481012-1","10/12/1748"
"St. Michael Cornhill","defendantHome","t17481012-15","10/12/1748"
"Cornhill","crimeLocation","t17481012-1","10/12/1748"
"Cornhill","crimeLocation","t17481012-15","10/12/1748"
"St. Giles's in the Fields","defendantHome","t17481012-1","10/12/1748"
"St. Giles's in the Fields","defendantHome","t17481012-18","10/12/1748"
"Holborn","crimeLocation","t17481012-1","10/12/1748"
"Holborn","crimeLocation","t17481012-18","10/12/1748"
"St. Mary Whitechapel","defendantHome","t17481012-1","10/12/1748"
"St. Mary Whitechapel","defendantHome","t17481012-19","10/12/1748"
"Rosemary Lane","crimeLocation","t17481012-1","10/12/1748"
"Rosemary Lane","crimeLocation","t17481012-19","10/12/1748"
"St. Martins in the Fields","defendantHome","t17481012-2","10/12/1748"
"Putney","crimeLocation","t17481012-2","10/12/1748"
"St. Butolph Aldgate","defendantHome","t17481012-2","10/12/1748"
"St. Butolph Aldgate","defendantHome","t17481012-23","10/12/1748"
"St. Luke's, Middlesex","defendantHome","t17481012-24","10/12/1748"
"St. Luke's, Middlesex","defendantHome","t17481012-2","10/12/1748"
"St. James's Westminster","crimeLocation","t17481012-26","10/12/1748"
"St. James's Westminster","crimeLocation","t17481012-2","10/12/1748"
"St. Leonard Shoreditch","defendantHome","t17481012-3","10/12/1748"
"Bishopsgate street","crimeLocation","t17481207-1","12/7/1748"
"St. George's, Middlesex","defendantHome","t17481207-77","12/7/1748"
"St. Mary le Bone","defendantHome","t17481207-20","12/7/1748"
"Temple-Bar","crimeLocation","t17481207-21","12/7/1748"
"King-street, Westminster","crimeLocation","t17481207-22","12/7/1748"
"St. Bride's","crimeLocation","t17481207-25","12/7/1748"
"Fleet-street","crimeLocation","t17481207-25","12/7/1748"
"London","defendantHome","t17481207-43","12/7/1748"
"London","defendantHome","t17481207-47","12/7/1748"
"Virginia street No 24","crimeLocation","t17481207-5","12/7/1748"
"London","defendantHome","t17481207-51","12/7/1748"
"London","defendantHome","t17481207-5","12/7/1748"
"London","defendantHome","t17481207-53","12/7/1748"
"London","defendantHome","t17481207-5","12/7/1748"
"Milkstreet","crimeLocation","t17481207-54","12/7/1748"
"Milkstreet","crimeLocation","t17481207-5","12/7/1748"
"Limehouse","crimeLocation","t17481207-62","12/7/1748"
"St. John's Waping","defendantHome","t17481207-65","12/7/1748"
"Prince of Orange","crimeLocation","t17481207-65","12/7/1748"
"St. Paul, Shadwell","defendantHome","t17481207-70","12/7/1748"
"St. Martin's, Westminster","defendantHome","t17481207-72","12/7/1748"
"Bishopsgate street","crimeLocation","t17481207-13","12/7/1748"
"Fulham","defendantHome","t17490113-1","1/13/1749"
"Drury-lane","crimeLocation","t17490113-6","1/13/1749"
"Parson's Green","crimeLocation","t17490113-1","1/13/1749"
"Parson's Green","crimeLocation","t17490113-10","1/13/1749"
"St. James's, Westminster","defendantHome","t17490113-13","1/13/1749"
"St. James's, Westminster","defendantHome","t17490113-1","1/13/1749"
"St. Martin's in the Fields","defendantHome","t17490113-1","1/13/1749"
"St. Martin's in the Fields","defendantHome","t17490113-14","1/13/1749"
"St. Botolph's, without Aldgate","defendantHome","t17490113-8","1/13/1749"
"St. Botolph without Aldgate","defendantHome","t17490113-9","1/13/1749"
"St. Mary-le-bone","defendantHome","t17490113-3","1/13/1749"
"St. Giles's in the fields","defendantHome","t17490113-2","1/13/1749"
"St. Clement's Danes","defendantHome","t17490113-3","1/13/1749"
"St. George's, Hanover-square","defendantHome","t17490113-30","1/13/1749"
"St. George's, Hanover-square","defendantHome","t17490113-3","1/13/1749"
"St. Martin's in the fields","defendantHome","t17490113-3","1/13/1749"
"St. Martin's in the fields","defendantHome","t17490113-31","1/13/1749"
"St Leonard's, Shoreditch","defendantHome","t17490113-37","1/13/1749"
"St Leonard's, Shoreditch","defendantHome","t17490113-3","1/13/1749"
"St. Mary-le-bone","defendantHome","t17490113-39","1/13/1749"
"St. Ann's Middlesex","defendantHome","t17490113-4","1/13/1749"
"St. Martin's in the Fields","defendantHome","t17490113-41","1/13/1749"
"St. Martin's in the Fields","defendantHome","t17490113-4","1/13/1749"
"London","defendantHome","t17490113-55","1/13/1749"
"London","defendantHome","t17490113-59","1/13/1749"
"St. Giles's","crimeLocation","t17490113-6","1/13/1749"
"Fulham","defendantHome","t17490113-10","1/13/1749"
"St. James's Westminster","defendantHome","t17490222-1","2/22/1749"
"Swan-Yard, Newgate Street","crimeLocation","t17490222-52","2/22/1749"
"St. George's, Middlesex","defendantHome","t17490222-14","2/22/1749"
"St. George's, Middlesex","defendantHome","t17490222-1","2/22/1749"
"St. George's, Hanover-square","defendantHome","t17490222-17","2/22/1749"
"St. George's, Hanover-square","defendantHome","t17490222-1","2/22/1749"
"London","defendantHome","t17490222-23","2/22/1749"
"St. John Wapping","defendantHome","t17490222-27","2/22/1749"
"Well-close Square","crimeLocation","t17490222-28","2/22/1749"
"St. John Wapping","defendantHome","t17490222-64","2/22/1749"
"St. Ann's, Westminster","defendantHome","t17490222-34","2/22/1749"
"Bakers-Arms Alley","crimeLocation","t17490222-37","2/22/1749"
"Windmil-Hill","crimeLocation","t17490222-38","2/22/1749"
"Fleet-street","crimeLocation","t17490222-46","2/22/1749"
"Hart-Street","crimeLocation","t17490222-49","2/22/1749"
"Enfield","defendantHome","t17490222-5","2/22/1749"
"Enfield","defendantHome","t17490222-50","2/22/1749"
"Swan-Yard, Newgate Street","crimeLocation","t17490222-5","2/22/1749"
"St. James's Westminster","defendantHome","t17490222-11","2/22/1749"
"St. Andrew, Holborn","defendantHome","t17490405-55","4/5/1749"
"Swan yard, Newgate-street","crimeLocation","t17490405-41","4/5/1749"
"Spring Garden, Stepney","crimeLocation","t17490405-9","4/5/1749"
"Bloomsbury-square","crimeLocation","t17490405-7","4/5/1749"
"Swan yard, Newgate-street","crimeLocation","t17490405-4","4/5/1749"
"Old Baily","crimeLocation","t17490405-40","4/5/1749"
"Old Baily","crimeLocation","t17490405-4","4/5/1749"
"Ludgate-hill","crimeLocation","t17490405-40","4/5/1749"
"Ludgate-hill","crimeLocation","t17490405-4","4/5/1749"
"Broad-way, Westminster","crimeLocation","t17490405-4","4/5/1749"
"St. Margaret's Westminster","defendantHome","t17490405-4","4/5/1749"
"Spittle-fields market","crimeLocation","t17490405-29","4/5/1749"
"St. Lawrence, Shoreditch","defendantHome","t17490405-10","4/5/1749"
"Little Minories","crimeLocation","t17490405-16","4/5/1749"
"sign of the Goat","crimeLocation","t17490405-16","4/5/1749"
"St. Paul's, Shadwell","defendantHome","t17490405-17","4/5/1749"
"St. George's Hanover-square","defendantHome","t17490405-18","4/5/1749"
"Strand","crimeLocation","t17490405-2","4/5/1749"
"Spittle-fields market","crimeLocation","t17490405-2","4/5/1749"
"late of St. Paul's Covent-Garden","defendantHome","t17490411-9","4/11/1749"
"North Audley street, near Hanover square","crimeLocation","t17490411-42","4/11/1749"
"late of St. James's, Hanover square","defendantHome","t17490411-42","4/11/1749"
"the sign of the Nag's-head in Carnaby-market","crimeLocation","t17490411-25","4/11/1749"
"London-wall the corner of Alderman-bury","crimeLocation","t17490411-13","4/11/1749"
"Threadneedle-street","crimeLocation","t17490411-1","4/11/1749"
"Threadneedle-street","crimeLocation","t17490411-16","4/11/1749"
"London-wall the corner of Alderman-bury","crimeLocation","t17490411-1","4/11/1749"
"Hackney","crimeLocation","t17490411-23","4/11/1749"
"St. George's, Hanover-square","defendantHome","t17490705-1","7/5/1749"
"St. Clements Dane","crimeLocation","t17490705-2","7/5/1749"
"St. Mary, Islington","defendantHome","t17490705-2","7/5/1749"
"St. Mary, Islington","defendantHome","t17490705-24","7/5/1749"
"St. Leonard, Shoreditch","defendantHome","t17490705-60","7/5/1749"
"St. Mary, White chapel","defendantHome","t17490705-64","7/5/1749"
"White's-alley, Chancery lane","crimeLocation","t17490705-75","7/5/1749"
"White's-alley, Chancery lane","crimeLocation","t17490705-7","7/5/1749"
"London","defendantHome","t17490705-76","7/5/1749"
"London","defendantHome","t17490705-7","7/5/1749"
"London","defendantHome","t17490705-77","7/5/1749"
"London","defendantHome","t17490705-7","7/5/1749"
"Collom-street","crimeLocation","t17490705-77","7/5/1749"
"Collom-street","crimeLocation","t17490705-7","7/5/1749"
"London","defendantHome","t17490705-8","7/5/1749"
"London","defendantHome","t17490705-80","7/5/1749"
"London","defendantHome","t17490705-8","7/5/1749"
"London","defendantHome","t17490705-8","7/5/1749"
"London","defendantHome","t17490705-81","7/5/1749"
"London","defendantHome","t17490705-8","7/5/1749"
"London","defendantHome","t17490705-86","7/5/1749"
"St. Sepulcher","crimeLocation","t17490705-8","7/5/1749"
"St. Sepulcher","crimeLocation","t17490705-86","7/5/1749"
"Fleet-street","crimeLocation","t17490705-8","7/5/1749"
"Fleet-street","crimeLocation","t17490705-86","7/5/1749"
"London","defendantHome","t17490705-1","7/5/1749"
"Cheap-side","crimeLocation","t17490705-1","7/5/1749"
"Queen-street","crimeLocation","t17490705-1","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-13","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-1","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-14","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-1","7/5/1749"
"Strand","crimeLocation","t17490705-14","7/5/1749"
"Strand","crimeLocation","t17490705-1","7/5/1749"
"Round Court","crimeLocation","t17490705-14","7/5/1749"
"Round Court","crimeLocation","t17490705-1","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-1","7/5/1749"
"St. Martin's in the Fields","defendantHome","t17490705-15","7/5/1749"
"St. George's, Hanover-square","defendantHome","t17490705-17","7/5/1749"
"St. Martin in the Fields","defendantHome","t17490705-40","7/5/1749"
"St. Mary-le-bone","defendantHome","t17490705-43","7/5/1749"
"St. Matthew, Middlesex","defendantHome","t17490705-45","7/5/1749"
"St. Andrew, Holborn","defendantHome","t17490705-49","7/5/1749"
"St. John's, Wapping","defendantHome","t17490705-53","7/5/1749"
"St. Mary-le-bon","defendantHome","t17490705-2","7/5/1749"
"St. Mary-le-bon","defendantHome","t17490705-25","7/5/1749"
"Rose-court, Fleet-lane","crimeLocation","t17490906-75","9/6/1749"
"Vinegar-yard, Falston's court , Drury-lane","crimeLocation","t17490906-69","9/6/1749"
"St. Paul's, Covent-garden","defendantHome","t17490906-67","9/6/1749"
"More-street, Soho","crimeLocation","t17490906-85","9/6/1749"
"Hare-street, Bethnal-green","crimeLocation","t17490906-57","9/6/1749"
"More-street, Soho","crimeLocation","t17490906-8","9/6/1749"
"Pear-tree street, St. Luke's","crimeLocation","t17490906-56","9/6/1749"
"Butchers-arms","crimeLocation","t17490906-57","9/6/1749"
"Spittle-fields","crimeLocation","t17490906-97","9/6/1749"
"Aldgate","crimeLocation","t17491011-5","10/11/1749"
"Aldgate","crimeLocation","t17491011-52","10/11/1749"
"Ivy-bridge","crimeLocation","t17491011-5","10/11/1749"
"Prince's street","crimeLocation","t17491011-15","10/11/1749"
"St. Gyles's","crimeLocation","t17491011-26","10/11/1749"
"late of St. Andrew's Holborn","defendantHome","t17491011-2","10/11/1749"
"late of St. Andrew's Holborn","defendantHome","t17491011-25","10/11/1749"
"Fishstreet-hill just by the corner of Crooked-lane","crimeLocation","t17491011-2","10/11/1749"
"Holborn","crimeLocation","t17491011-34","10/11/1749"
"late of St. Leonard, Shoreditch","defendantHome","t17491011-1","10/11/1749"
"late of St. Leonard, Shoreditch","defendantHome","t17491011-19","10/11/1749"
"Prince's street","crimeLocation","t17491011-1","10/11/1749"
"St. Gyles's","crimeLocation","t17491011-2","10/11/1749"
