Royal Exchange, London, England
Watling-Street, London, England
Watling-Street, London, England
Holborn, London, England
Holborn, London, England
Foundling-Hospital, London, England
Sun Tavern at Shadwell, London, England
Uxbridge, London, England
the Work-house belonging to All-Hallows, London-Wall, London, England
St. James's Square, London, England
St. James's Square, London, England
Hand and Racket in Hedge-Lane, St. Martin's parish, London, England
Hand and Racket in Hedge-Lane, St. Martin's parish, London, England
Swan-alley, Coleman-street, at the Coach and Horses, a publick house, London, England
Swan-alley, Coleman-street, at the Coach and Horses, a publick house, London, England
Stone-cutter street, Pal-mall, London, England
Stone-cutter street, Pal-mall, London, England
the Eagle and Child, St. Martin le Grand; it is in the liberty of Westminster, London, England
the Eagle and Child, St. Martin le Grand; it is in the liberty of Westminster, London, England
Billingsgate, London, England
Hackney, London, England
Ludgate-Hill, London, England
Royal-Exchange, London, England
Hart-street, Bloomsbury, London, England
Hart-street, Bloomsbury, London, England
Brewer-street, Golden-Square, London, England
Brewer-street, Golden-Square, London, England
parish of St. Giles's, London, England
parish of St. Giles's, London, England
Golden-square, London, England
Long's-Court, near Leicester Fields, London, England
corner of Alderman-Bury, London, England
the Liberty of Westminster, in the parish of St. Vest, Foster-lane, in St. Martins le Grand, London, England
St. Martin's Court, London, England
Field Lane, London, England
Field Lane, London, England
Church Lane, St. Giles's, London, England
Pump Court, London, England
Ship tavern, Bishopsgate-street, London, England
Spitalfields, London, England
Tower Royal, London, England
Tower Royal, London, England
Bell-Lane in the parish of Christ-Church, London, England
Bell-Lane in the parish of Christ-Church, London, England
Duck Lane, near Smithfield, London, England
Greyhound inn, Drury Lane, London, England
Grange Inn, Carey Street, London, England
St. Giles's, in Eagle-Street, London, England
Church-lane, Whitechapel, London, England
Church-lane, Whitechapel, London, England
Stony-lane, London, England
Stony-lane, London, England
Petticoat lane, London, England
Petticoat lane, London, England
Tom's Coffee-house, Great-Russel-Street, Covent-Garden, London, England
corner of Water-lane, out of Thames street, London, England
corner of Water-lane, out of Thames street, London, England
Orange-Court near Leicester-fields, London, England
Orange-Court near Leicester-fields, London, England
Old-Gravel-lane, London, England
Old-Gravel-lane, London, England
Bishopsgate-street without, London, England
Bishopsgate-street without, London, England
Great Mogul's Head in Drury lane, London, England
Great Mogul's Head in Drury lane, London, England
Bishopsgate-street, London, England
Bishopsgate-street, London, England
Holborn, London, England
Long-Acre, London, England
Shoemaker-Row, near Aldgate, London, England
Shoemaker-Row, near Aldgate, London, England
Frying Pan Alley, Spital-fields, London, England
Frying Pan Alley, Spital-fields, London, England
Norfolk-Street, London, England
Norfolk-Street, London, England
London Bridge, London, England
London Bridge, London, England
Rosemary-lane, London, England
Rosemary-lane, London, England
Whitecross street, London, England
Whitecross street, London, England
St. Thomas's, near the hospital , on the other side of the water, London, England
St. Thomas's, near the hospital , on the other side of the water, London, England
Knights bridge, London, England
Mount Pleasant, London, England
Shoe-lane, London, England
middle of Cow-lane, London, England
Butcher Row, Temple Bar, London, England
Chelsea, London, England
Chelsea, London, England
Neesdon, in Wilsdon parish, near Hendone, London, England
Rosemary-Lane, London, England
Limehouse, London, England
Limehouse, London, England
Twickenham, London, England
Twickenham, London, England
Leeds, London, England
White-Chapel, London, England
Catharine-street in the Strand, London, England
Rose and Crown, in Broad-street, near Ratcliff-Cross, London, England
Spittle-fields, London, England
Spittle-fields, London, England
high Holborn, London, England
high Holborn, London, England
over-right Isleworth church, London, England
Covent Garden, London, England
Princes-street near Stocks Market, London, England
Princes-street near Stocks Market, London, England
Hatton-Garden, London, England
Hatton-Garden, London, England
sign of the Angel and Crown, in Queen-street, London, England
Griffin in Holbourn, London, England
Griffin in Holbourn, London, England
Antelope in White-hart Yard, London, England
Antelope in White-hart Yard, London, England
White-Cross-Street, London, England
White-Cross-Street, London, England
Ludgate-street, London, England
Ludgate-street, London, England
parish of St. George, Hanover-Square, London, England
parish of St. George, Hanover-Square, London, England
Royal-Exchange, London, England
Brown's Gardens, on the back of Monmouth-Street, London, England
Salutation within Temple bar, London, England
Bernard's Inn, London, England
Bishopsgate-street, London, England
St. Paul's Church-yard, London, England
St. Paul's Church-yard, London, England
near the middle of the stream of Rotherith stairs, London, England
Radcliff Cross, London, England
Conduit-street, near Swallow street, London, England
Conduit-street, near Swallow street, London, England
Albemarle-street, London, England
New-street, London, England
New-street, London, England
Wool Key, London, England
Chancery-lane, London, England
Hampstead parish, London, England
Tottenham, London, England
York-street, by St. James's church, London, England
the end of Field-lane, near Holborn, London, England
Mansion house, London, England
Black-Horse-and-Ram on Margaret's-hill, Southwark, London, England
River Thames, London, England
Catharine-street in the Strand, London, England
Catharine-street in the Strand, London, England
Fleet Market, London, England
Fleet Market, London, England
Saffron Hill, London, England
Saffron Hill, London, England
Hatton Garden, London, England
Hatton Garden, London, England
Finchley common, London, England
Finchley common, London, England
St. James's park, London, England
St. James's park, London, England
Charing-Cross, London, England
Charing-Cross, London, England
Cheapside, London, England
Cheapside, London, England
Hercules behind the Exchange, London, England
Limehouse, London, England
Whittington-and-Cat in White-Chapel, London, England
Whittington-and-Cat in White-Chapel, London, England
Mulberry-court near Moore-fields, London, England
Mulberry-court near Moore-fields, London, England
great Ormond-street, London, England
Downing-street, Westminster, London, England
by the postern in Aldgate, London, England
near Mud-dock, in Rotherhith, London, England
near Mud-dock, in Rotherhith, London, England
Bell Wharf, a little below Ratcliff Cross, London, England
Bell Wharf, a little below Ratcliff Cross, London, England
Milk-street market, London, England
Milk-street market, London, England
Ten Bells Court, London, England
Ten Bells Court, London, England
Fenchurch-street, London, England
Grub-street, London, England
Holloway, London, England
Holloway, London, England
Exchange, London, England
Exchange, London, England
White-chapel, London, England
White-chapel, London, England
Shoreditch, London, England
Shoreditch, London, England
Spittal fields, London, England
Spittal fields, London, England
Cow Cross, London, England
Cow Cross, London, England
Russel street, London, England
Russel street, London, England
Gerrard-street, London, England
New Bond-street, London, England
London-bridge, London, England
Cheapside, London, England
St. James's market, London, England
Young's-Key, London, England
Young's-Key, London, England
Gravesend, London, England
Gravesend, London, England
Tower wharf, London, England
Tower wharf, London, England
South Mimmes, in the county of Middlesex, London, England
Long-lane near Smithfield, London, England
the Minories, London, England
Piccadilly, London, England
Piccadilly, London, England
Rosemary Lane, London, England
Rosemary Lane, London, England
Exeter street, London, England
Exeter street, London, England
Beaufort Buildings, London, England
belong to the William and Sarah, lying in the river, London, England
Coach and Horses in David-Street, Grosvenor-square, London, England
Grace Church-street, London, England
a boat belonging to my Lord Mayor lying in the river, London, England
Red-lion in Hart-street, London, England
Hounslow, London, England
Swallow-street, London, England
New Crane, in the parish of Shadwell, London, England
Fish-mongers-hall, London, England
Fish-mongers-hall, London, England
Tyburn-road, in the parish of St. Ann's, London, England
Threadneedle-street, London, England
Threadneedle-street, London, England
corner of Charles-street, Covent-garden, London, England
corner of Charles-street, Covent-garden, London, England
behind St. Clement's church, London, England
behind St. Clement's church, London, England
St. James's-street, London, England
Stable-Yard, Southampton-Row, Bloomsbury, London, England
Stable-Yard, Southampton-Row, Bloomsbury, London, England
King's-Street, Westminster, London, England
the Rose and Crown Yard, Holbourn-Bridge, London, England
the Rose and Crown Yard, Holbourn-Bridge, London, England
Lemon-street, Goodman's-fields, London, England
Oxford Road, London, England
Red Lion-street, Holborn, London, England
St. Ann's, Westminster, London, England
St. Ann's, Westminster, London, England
precinct of St. Catharine's, London, England
precinct of St. Catharine's, London, England
St. Luke's, London, England
St Clement's Churchyard, London, England
Honey-lane Market, London, England
Long-Acre, London, England
Green Dragon in Long Lane, London, England
St. Martin's in the Fields, London, England
Toyshop in the Strand, London, England
St. Mary, Whitechapel,, London, England
the Sign of the Angel in Whitechapel, London, England
St. Giles's in the Fields, London, England
Stepney, London, England
Nightingale-Lane, in Angel-Court, in the Parish of Aldgate, London, England
Nightingale-Lane, in Angel-Court, in the Parish of Aldgate, London, England
Charing-Cross, London, England
Chelsea, London, England
Baldwin's-Gardens, London, England
St. Mary Lestrand, London, England
St. Mary Lestrand, London, England
St. Lawrence Jury, London, England
St. Lawrence Jury, London, England
St. Martin's in the Fields, London, England
Chiswick, London, England
Chiswick, London, England
Turnham Green, London, England
Turnham Green, London, England
St. Mary Whitechapel, London, England
St. Mary Whitechapel, London, England
St. Botolph without Aldgate, in Middlesex, London, England
St. Botolph without Aldgate, in Middlesex, London, England
St. George, Bloomsbury, London, England
Spitalfields-Market, London, England
Spitalfields-Market, London, England
Dorset-Street, Spital-Fields, London, England
Dorset-Street, Spital-Fields, London, England
St John Wapping, London, England
Shoreditch, London, England
St. John, Hackney, London, England
St. James's, Westminster, London, England
Bedsont, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
Fishers-Alley, Petticoat-Lane, London, England
Queen's-Court, Great Queen's-Street, near Lincoln's-Inn-Fields, London, England
Lincoln's-Inn Wall, London, England
Wapping-Dock, London, England
Plumptree-Court, in Shoe lane, London, England
Bear-Key, London, England
Bear-Key, London, England
Bear-Key, London, England
Bear-Key, London, England
Bull Head, London, England
Bull Head, London, England
Moor-Lane, London, England
Cheapside, London, England
St. Alban-Street, near St. James's-Market, London, England
Long-Lane near Smithfield, London, England
Long-Lane near Smithfield, London, England
Tothill-Fields, in St. George's Parish, London, England
Tothill-Fields, in St. George's Parish, London, England
Holbourn, London, England
Spitalfields, London, England
Red-Lyon-Street, Whitechapels, London, England
Royal-Exchange, London, England
Saville-Row, London, England
Exeter-Exchange in the Strand, London, England
Shoreditch Parish, London, England
Shoreditch Parish, London, England
Bethnal-Green, London, England
Bethnal-Green, London, England
King street, Westminster, London, England
Leaden hall-street, London, England
Bishop of Ely's house, London, England
Bishop of Ely's house, London, England
East-Smithfield, London, England
East-Smithfield, London, England
St. Luke, London, England
King-Street, Westminster, London, England
Buttle-Wharf, London, England
Buttle-Wharf, London, England
St. Katherine's, London, England
St. Katherine's, London, England
Bow-lane, London, England
Fetter-lane, London, England
Lemon-street, Goodman's-fields, London, England
Barbican, London, England
Barbican, London, England
Lidlight near Lid, London, England
Lidlight near Lid, London, England
Clerkenwell-Close, London, England
Clerkenwell-Close, London, England
Bakers Row in Whitechapel, London, England
Westbourn-Green , in the Parish of Paddington-Green, London, England
Shoe-lane, in the Parish of St Brides, London, England
Red-hart in Fetter lane, London, England
Bridges street, Covent Garden, London, England
St Andrew Holborn, London, England
St. Andrew, Holborn, London, England
St Katherine's, London, England
Buttle-Wharf, London, England
Buttle-Wharf, London, England
Hampstead, London, England
Hampstead, London, England
Lime-House-Hole, London, England
Bosworth-Court , Cary-Street, London, England
Margaret's Westminster, London, England
Margaret's Westminster, London, England
Newtner street, London, England
Exchange, London, England
Exchange, London, England
Thames-street, London, England
the Coach and Horses, Petty France, Westminster, London, England
the Coach and Horses, Petty France, Westminster, London, England
King's Head in King's Head Court, in the Parish of St. Gregory, London, England
Plough-Alley, Wapping, London, England
Delahaye-Street , Westminster, London, England
Broad St Giles's, London, England
Hackney, London, England
Old-nickle-street, London, England
St. James's, Westminster, London, England
St. James's, Westminster, London, England
Piccadilly, London, England
Piccadilly, London, England
Redhill , in the County of Surrey, London, England
Brook's-Wharf, London, England
Whitechapel, London, England
Aldersgate street, London, England
Aldersgate street, London, England
Three Crowns in Whitechapel, London, England
Shevarton, London, England
St. Martin's-Lane, London, England
St. Martin's-Lane, London, England
St. Katherine's Lane, London, England
Westminster Horse-yard, London, England
Strand, London, England
Kirby-Street, London, England
Blue-Anchor, London, England
Finchley-Common, London, England
Gravel lane, Houndsditch, London, England
Mount street, St George's, Hanover square, London, England
Russel-street, Covent-garden, London, England
Bell-alley, in the Ward of Queenhithe, London, England
Monmouth-street, London, England
Monmouth-street, London, England
St. Anne's, London, England
Old Gravel lane, London, England
Bishopsgate street, London, England
Shoreditch, London, England
Oxford Road, near the Cheshire-Cheese, London, England
St Bride's Parish, Fleet-Market, London, England
St Bride's Parish, Fleet-Market, London, England
Wiggins's key, London, England
St. Martin's in the Fields, London, England
Castle-Street, Spital-Fields, London, England
Castle-Street, Spital-Fields, London, England
Great Russel-Street, London, England
St. Luke's Middlesex, London, England
St. Paul's, Shadwell, London, England
St. Andrew Holborn, London, England
St. Andrew Holborn, London, England
St. George the Martyrs, London, England
St. Bartholomew174509110020 the Great, London, England
St. Bartholomew174509110020 the Great, London, England
hat and feather in Long Lane, London, England
hat and feather in Long Lane, London, England
St. Leonard, Shoreditch, London, England
St. Leonard, Shoreditch, London, England
St. Martin's-Lane, London, England
Chester-Key, London, England
Leadenhall-Market, London, England
Warwick-Street, Charing-Cross, London, England
Holbourn-Bridge, London, England
Broad-Street, by Ratcliff-Cross, London, England
St. Giles's in the Fields, London, England
Christ Church, Middlesex, London, England
St. Ann Limehouse, London, England
St. Ann Limehouse, London, England
St. Leonard, Shoreditch, London, England
St. Mary, White chapel, London, England
White's-alley, Chancery lane, London, England
White's-alley, Chancery lane, London, England
London, London, England
London, London, England
London, London, England
London, London, England
St. Leonard, Shoreditch, London, England
St. Leonard, Shoreditch, London, England
Coleman-Street, London, England
Coleman-Street, London, England
St. James's, Westminster, London, England
St. James's, Westminster, London, England
St. James's, Westminster, London, England
St. James's, Westminster, London, England
St. James's Market, London, England
St. James's Market, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
Shoe Lane, Holborn, London, England
St. Martin's in the Fields, London, England
St. Martin's in the Fields, London, England
St. Mary Lestrand, London, England
the Strand, and went into Eagle-Court, London, England
St. Michael Cornhill, London, England
St. Dunstan's in the West, London, England
near Black-Fryer's gate, London, England
Castle at Cow-Cross, London, England
Collom-street, London, England
Collom-street, London, England
London, London, England
London, London, England
London, London, England
London, London, England
London, London, England
London, London, England
London, London, England
St. Sepulcher, London, England
St. Sepulcher, London, England
Fleet-street, London, England
Fleet-street, London, England
St. Andrew's, Holborn, London, England
St. George in Middlesex, London, England
Uxbridge, London, England
Castle, London, England
Great-Moorgate, London, England
Cranbourn-Alley, London, England
Bird-in-hand in King-street Westminster, London, England
St. Sepulchre's, London, England
Bartholomew-fair, London, England
Newgate, London, England
St. John the Evangelist, London, England
St. Mary-le-bone, London, England
St. Mary-le-bone, London, England
St. Ann's Middlesex, London, England
St. Martin's in the Fields, London, England
St. Martin's in the Fields, London, England
London, London, England
London, London, England
St. Giles's, London, England
Drury-lane, London, England
Pear-tree street, St. Luke's, London, England
Clare-Market, London, England
St. Dunstan's in the West, London, England
Gentleman and Porter, London, England
Fleetstreet, London, England
St. James's, Westminster, London, England
St. Martin's in the Fields, London, England
Windsor Court, in Drury-Lane, London, England
St. Botolph Aldgate, London, England
Bethnal-Green, London, England
Bethnal-Green, London, England
St. Matthew Bethnal-green, London, England
St. Matthew Bethnal-green, London, England
Bethnal-green, London, England
Bethnal-green, London, England
St. Giles's Cripplegate, London, England
St. Giles's Cripplegate, London, England
Punch-bowl, London, England
Punch-bowl, London, England
Halfmoon-alley, London, England
Halfmoon-alley, London, England
Little Moor-fields, London, England
Little Moor-fields, London, England
St. Botolph's, without Aldgate, London, England
St. Botolph without Aldgate, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
St. George's, Middlesex, London, England
St. George's, Middlesex, London, England
St. George's, Hanover-square, London, England
St. George's, Hanover-square, London, England
Butchers-arms, London, England
Hare-street, Bethnal-green, London, England
St. Paul's, Covent-garden, London, England
Vinegar-yard, Falston's court , Drury-lane, London, England
St. Michael Cornhill, London, England
St. Michael Cornhill, London, England
St. Luke's, London, England
St. Luke's, London, England
St. Giles's Cripplegate, London, England
St. Giles's Cripplegate, London, England
Woolpack in Jewin-street, London, England
Woolpack in Jewin-street, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
Hendon, London, England
St. John, Wapping, London, England
Wapping, London, England
Bromley, London, England
Bromley, London, England
St. Giles in the Fields, London, England
London, London, England
St. John Wapping, London, England
Well-close Square, London, England
Rose-court, Fleet-lane, London, England
More-street, Soho, London, England
More-street, Soho, London, England
St. George's Bloomsbury, London, England
St. George's Bloomsbury, London, England
St. Dunstan in the West, London, England
Fleet-street, London, England
St. James's Duke's Place, London, London, England
St. John the Evangelist, London, England
St. Sepulchres, London, England
Wapping, London, England
St. Catherine Creedchurch, London, England
Saracen's head, London, England
Aldgate, London, England
Stepney, London, England
St. Mary Aldermanbury, London, England
Aldermanbury, London, England
St. Ann's, Westminster, London, England
Bakers-Arms Alley, London, England
Totenham, London, England
Three jolly Butchers at Newington, London, England
St. Botolph Bishopgate, London, England
St. Botolph Bishopsgate, London, England
St. Botolph Aldgate, London, England
Dumwell Frigate, London, England
Rose Inn at Holbourn-bridge, London, England
Sepulchres, London, England
St. Dunstan's Stepney, London, England
St. James's West, minster, London, England
St. James's West, minster, London, England
St. Michael Cornhill, London, England
St. Michael Cornhill, London, England
Cornhill, London, England
Cornhill, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
Holborn, London, England
Holborn, London, England
Windmil-Hill, London, England
Fleet-street, London, England
Hart-Street, London, England
Enfield, London, England
Enfield, London, England
Swan-Yard, Newgate Street, London, England
Swan-Yard, Newgate Street, London, England
Fishstreet-hill just by the corner of Crooked-lane, London, England
late of St. Andrew's Holborn, London, England
late of St. Andrew's Holborn, London, England
St. Gyles's, London, England
St. Gyles's, London, England
St. James's Westminster, London, England
Oxford-Arms, London, England
Piccadilly, London, England
St. Mary Whitechapel, London, England
St. Mary Whitechapel, London, England
Rosemary Lane, London, England
Rosemary Lane, London, England
St. Martins in the Fields, London, England
Putney, London, England
St. Butolph Aldgate, London, England
St. Butolph Aldgate, London, England
St. Luke's, Middlesex, London, England
St. Luke's, Middlesex, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
St. Leonard Shoreditch, London, England
St. Olave Hart Street, London, England
St. Olave Hart Street, London, England
St. John Wapping, London, England
St. Lawrence, Shoreditch, London, England
Little Minories, London, England
sign of the Goat, London, England
St. Paul's, Shadwell, London, England
St. George's Hanover-square, London, England
White Chappel, London, England
White Chappel, London, England
Grovesnor Square, London, England
Thistle and Crown, Charing Cross, London, England
Thistle and Crown, Charing Cross, London, England
St. Paul Covent Garden, London, England
York-street Covent-Garden, London, England
St. Ann Westminster, London, England
St. Catharine Cree-church, London, England
St. Catharine Cree-church, London, England
St. Michael Cornhill, London, England
Cornhill, London, England
Exchange Alley, London, England
Bartholomew-Close, London, England
St. James's, Westminster, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Pancras Soper Lane, London, England
Strand, London, England
Spittle-fields market, London, England
Spittle-fields market, London, England
Cheapside, London, England
St. Martin's in the Fields, London, England
Long-Acre, London, England
St. George Bloomsbury, London, England
St. Luke's, Middlesex, London, England
Bishopsgate street, London, England
Bishopsgate street, London, England
St. Mary le Bone, London, England
Temple-Bar, London, England
King-street, Westminster, London, England
St. Bride's, London, England
Fleet-street, London, England
St. Margaret's Westminster, London, England
Broad-way, Westminster, London, England
Ludgate-hill, London, England
Ludgate-hill, London, England
Old Baily, London, England
Old Baily, London, England
Swan yard, Newgate-street, London, England
Swan yard, Newgate-street, London, England
Holborn, London, England
St. John Wapping, London, England
St. Giles's in the Fields, London, England
Blue-Anchor Alley, at the bottom of Whitecross street, London, England
Blue-Anchor Alley, at the bottom of Whitecross street, London, England
Panton-street, St. George's, London, England
inward Temple, London, England
No. three, a ground floor on the left hand in Tanfield-court, London, England
St. Peter Cheap, London, England
St. Peter Cheap, London, England
St. Mary Aldermary, London, England
St. Mary Aldermary, London, England
Watling Street, London, England
Watling Street, London, England
St. Brides, London, England
St. Brides, London, England
Ludgate-Hill, London, England
Ludgate-Hill, London, England
St. Brides, London, England
St. Brides, London, England
the Man in the moon, Plough street, Whitechapel, London, England
the Man in the moon, Plough street, Whitechapel, London, England
Hackney, London, England
Fleet-market-house, London, England
King-street, Rotherhith, London, England
the Hole in the Wall, Baldwin's Gardens, near Gray's Inn Lane, London, England
Upper Moor-fields, London, England
late of Fulham, London, England
Mr. Paterson's shop in the Cloysters, London, England
Mr. Paterson's shop in the Cloysters, London, England
Fenchurch street, London, England
Fenchurch street, London, England
coming from Carnaby-market, into Silver-street, London, England
coming from Carnaby-market, into Silver-street, London, England
Kirby-street, London, England
Nottingham Court, King-street, Seven Dials, London, England
East Smithfield, London, England
Ludgate, London, England
the Change, London, England
Newgate-street, London, England
Newgate-street, London, England
Lions-Inn, London, England
Lions-Inn, London, England
St. Dunstan's church, Fleet-street, London, England
the Poultry, London, England
the Strand, near Hungerford-market, London, England
Grafton-Street, London, England
Tottenham Court, London, England
Bread-street end, London, England
Saracen's-head, Snow hill, London, England
St. George's, Hanover-Square, London, England
Cratched Friars, London, England
Little-Britain, London, England
Little-Britain, London, England
Holborn-Bridge, London, England
Holborn-Bridge, London, England
St. Martin's Court, London, England
the Minories, London, England
the Windmill in Nicholas Lane, London, England
the Windmill in Nicholas Lane, London, England
Gray's-Inn-lane, London, England
Gray's-Inn-lane, London, England
Great Wild-street, London, England
Great Wild-street, London, England
Ralph's key, London, England
Ralph's key, London, England
Aldgate, London, England
Rose and Crown Court, London, England
Gravel lane, London, England
Gravel lane, London, England
Poland-street, London, England
Fetherstone Buildings, London, England
Fetherstone Buildings, London, England
Fenchurch-street, London, England
Fenchurch-street, London, England
Guildhall, London, England
Guildhall, London, England
Fleet-street, near St. Dunstan's Church, London, England
Fleet-street, near St. Dunstan's Church, London, England
Cow Cro, London, England
Cow Cro, London, England
the Savoy chapel, London, England
the Savoy chapel, London, England
the Strand, London, England
Nag's head an inn, in Orange-street, London, England
Bedlam Hospital, London, England
Bedlam Hospital, London, England
Leather Lane, London, England
Leather Lane, London, England
Temple-Bar, London, England
Temple-Bar, London, England
Streaton Street, London, England
the Hat and Bever, in Bridge-street, London, England
the Hat and Bever, in Bridge-street, London, England
Shoreditch, London, England
Shoreditch, London, England
Aldgate, London, England
George Alley, London, England
George Alley, London, England
Cheapside, London, England
Mansion-House, London, England
Mansion-House, London, England
Church Head Alley Hole, joining to London-Bridge, London, England
Stoke Newington, London, England
St. James's, London, England
Fleet-Street, London, England
Field-Lane, London, England
Field-Lane, London, England
Stonecutters-Alley, London, England
Stonecutters-Alley, London, England
Pimlico, London, England
Pimlico, London, England
Buckingham-Gardens, London, England
Cornhill, London, England
the Black-Bull in Cow-lane, London, England
Red-Lion in Hammersmith, London, England
Hounsditch, London, England
Watling-Street, London, England
Long-Acre, London, England
the Star, in Star-Court, Cheapside, London, England
St. James's Street, London, England
St. James's Street, London, England
Fleet-Street, near Serjeants-Inn, London, England
Monmouth-Street, London, England
Monmouth-Street, London, England
Leadenhall-street, London, England
St. James's-park, London, England
Islington, London, England
Islington, London, England
Twickenham, London, England
Twickenham, London, England
the Savoy, London, England
the Savoy, London, England
Marlborough-Court, London, England
Marlborough-Court, London, England
Strutton Ground, London, England
Strutton Ground, London, England
Grace-church-Street, London, England
the Tower, London, England
the Tower, London, England
Harp-Alley, London, England
Harp-Alley, London, England
Swallow-Street, London, England
Mec-t Street, Long Acre, London, England
Green-Arbour Court, near the Little Old-Bailey, London, England
Green-Arbour Court, near the Little Old-Bailey, London, England
Holbourn, near the Black-Swan, London, England
Holbourn, near the Black-Swan, London, England
Barnard's-Inn, London, England
Barnard's-Inn, London, England
St. Margaret's workhouse, London, England
St. Margaret's workhouse, London, England
Great Queen-Street, London, England
Half-way House, called Mother Red Cap's, London, England
Whitechapel, London, England
Gracechurch-street, London, England
Drury-Lane, London, England
Billingsgate, London, England
Billingsgate, London, England
Kensington, London, England
Kensington, London, England
Putney, London, England
Putney, London, England
Houndsditch, London, England
Houndsditch, London, England
Bloomsbury, London, England
Bloomsbury, London, England
Copenhagen-house, London, England
Copenhagen-house, London, England
Kentish-Town, London, England
Kentish-Town, London, England
Canford-Green, London, England
Canford-Green, London, England
Lawrence-Lane, London, England
Holbourn, London, England
Holbourn, London, England
George-street, London, England
George-street, London, England
Clare-street, Claremarket, London, England
Clare-street, Claremarket, London, England
Chandlers Street, Grosvenor-Square, London, England
Chandlers Street, Grosvenor-Square, London, England
Bishopsgate-Street, London, England
Bishopsgate-Street, London, England
Finchley-Common, London, England
Finchley-Common, London, England
Newgate, London, England
Newgate, London, England
St. Paul's, Shadwell, London, England
crane-house on the Custom-house Keys, London, England
Tower-Hill, London, England
Tower-Hill, London, England
Charter house street, London, England
Charter house street, London, England
Ludgate-hill, London, England
Chancery-Lane, London, England
St. Dunstan's church, London, England
Shoreditch, London, England
Whitechapel, London, England
Queen Street, Seven-Dials, London, England
Fox-Court, London, England
Fox-Court, London, England
St. James's, London, England
St. James's, London, England
York-Buildings, London, England
York-Buildings, London, England
Rosamond's-Pond, London, England
Rosamond's-Pond, London, England
Pancras Wash, London, England
first field, near the King's-Arms, going from Cavendish-Square to Marybone., London, England
Duke-Street, St. James's, London, England
Leaden Hall Market, London, England
St. Giles's, London, England
Billinsgate, London, England
Billinsgate, London, England
Old-Street, London, England
Old-Street, London, England
Chappel-Street, London, England
St. Paul's., London, England
Rosemary-Lane, London, England
Rosemary-Lane, London, England
Guildhall, London, England
Guildhall, London, England
Whitehorse-yard by Drury-lane, London, England
Whitehorse-yard by Drury-lane, London, England
New-Charles Street, near May Fair, London, England
New-Charles Street, near May Fair, London, England
the Rose and Crown, Aldgate-High-Street, London, England
Black-boy-alley, London, England
Fleetditch, London, England
St. John Street, London, England
Cloysters, West-Smithfield, London, England
St. John's parish, London, England
St. John's parish, London, England
Coldbath-Fields, London, England
Fish-street-Hill, London, England
Fish-street-Hill, London, England
Bread-street Hill, London, England
Bread-street Hill, London, England
London Bridge, London, England
London Bridge, London, England
Clare-Market, London, England
Clare-Market, London, England
keep a publick-house the upper end of Brick-Lane, Bethnal-Green, London, England
keep a publick-house the upper end of Brick-Lane, Bethnal-Green, London, England
Crown alehouse in Duck-Lane, London, England
Great-turnstile, Holbourn, London, England
Holbourn-Bridge, London, England
the Bell in Friday-Street, London, England
the Bell in Friday-Street, London, England
Bishopsgate-Street, London, England
Bishopsgate-Street, London, England
Norfolk Street, in the Strand, London, England
Cranbourn-Alley, London, England
Cranbourn-Alley, London, England
Tyburn-Road, London, England
Tyburn-Road, London, England
Castle Yard, London, England
Castle Yard, London, England
Coldbath-Fields, London, England
Cornhill, London, England
Cornhill, London, England
Red-Lion-Yard, Holbourn, London, England
Red-Lion-Yard, Holbourn, London, England
down Cheapside from St. Paul's Church, London, England
down Cheapside from St. Paul's Church, London, England
the Duke of Marlborough's Head by Shadwell-Church, London, England
Aldgate, London, England
George-inn in Long-acre, London, England
St. Mary le-bon parish, London, England
Kenington Gravelpit, London, England
Alderigate-street, London, England
Castle-street, Leicester-fields, London, England
Castle-street, Leicester-fields, London, England
St. Clement's-Lane, London, England
Stanmore, London, England
the Ambery, London, England
Duke's-place, London, England
Great Marlborough-street, Carnaby-market, London, England
West Smithfield, London, England
Drury lane, London, England
Mansion-house, London, England
Pye Corner, London, England
Bishopsgate street, London, England
Fishstreet-hill, London, England
Queenhithe, London, England
Queenhithe, London, England
Bishop's Court in the Old-Bailey, London, England
Bishop's Court in the Old-Bailey, London, England
St. George's in the East, London, England
St. George's in the East, London, England
Old-Bailey, London, England
Old-Bailey, London, England
Great St. Andrew's-street, London, England
Great St. Andrew's-street, London, England
the Cross-Keys, in Gracechurch-street, London, England
Green-Yard, Montague-Close, upon the back-side of Pepper-Alley, London, England
Green-Yard, Montague-Close, upon the back-side of Pepper-Alley, London, England
Red Lion, Silver street, by Golden square, London, England
Stoney Lane, London, England
King-street, near Golden-square, London, England
Portugal-street, London, England
the Strand, London, England
Fresh Wharf, London, England
Fresh Wharf, London, England
Fleet-street, London, England
Fleet-street, London, England
Covent-Garden, London, England
Covent-Garden, London, England
Hampstead, London, England
Hampstead, London, England
the White Hart, at Temple-Millsnear Hackney, London, England
Holborn-Hill, London, England
Red-lion-alley, Cow-cross, London, England
